Name,Location,Price,Image,Description,Details,General,,
House / Villa - 2 Bedrooms - 149 m²,"Curepipe, Center","Rs 4,700,000",https://www.lexpressproperty.com/local/cache-intervention/L733xH498/jpg/photo-house_villa_2_bedrooms_149_m2-vSbXikER0LjG2d68.jpg,"NEWLY BUILT HOUSE FOR SALE IN CUREPIPE..
For Sale Curepipe, Rue LaCroix newly built House on a land surface of 5.8 Perches.
1 Living/Dining, 1 Furnished Open Kitchen, 2 Bedrooms, 1 Bathroom/Toilet, 1 Garage etc...
Price for Sale : Rs 4.7m NEG
For interested visit kindly contact our Agent.","Land surface
244.81 m²
Interior surface
148.64 m²",Pets allowed,,
House / Villa - 3 Bedrooms - 247 m²,"Mon Choisy, North","Rs 27,596,800",https://www.lexpressproperty.com/local/cache-intervention/L733xH498/jpg/photo-house_villa_3_bedrooms_247_m2-Jd8Ff4zSLQuw9620.jpg,"Ideally situated, the villa is located about 200 metres from the largest beach in the north and only a few minutes from Grand Baie city-centre.This lovely villa of 247 m² build has 3 en-suite bedrooms, with a landscaped garden and a private swimming pool.Contemporary and functional, fully furnished and equipped, the villa offers a master bedroom on the ground floor facing the pool, and two other bedrooms on the first floor each with a private terrace.The living space is bright, all sliding glass doors open onto the terrace to better enjoy the pool and garden.The open-plan kitchen is fully equipped, an outdoor back kitchen is also available, a small desk is cleverly nestled in the hall.Perfectly designed, this property offers a contemporary lifestyle in a simplified and easy way of life thanks to its proximity to the beach, an 18-hole golf course and up-market amenities.","Land surface
317 m²
Interior surface
247 m²
Swimming pool
Private pool",Sea access,,
House / Villa - 3 Bedrooms - 430 m²,"Black River, West","Rs 75,891,200",https://www.lexpressproperty.com/local/cache-intervention/L733xH498/jpg/photo-house_villa_3_bedrooms_430_m2-9NA98P8lXJhGbd8d.jpg,"Buying off plan - Agency fees included:
The villas W of 430m2 on a plot of land ranging from 1639m3 to 2725m2 are designed to face the west and its magnificent sunsets. These villas have the advantage of being protected from the prevailing winds while offering a beautiful natural luminosity. To allow their owners to fully enjoy the hot afternoons of the Black River region, these villas are adapted with generous pergolas and mobile vertical screens to slow down the sun's ardor.
Facing the sea and the golf course of the domain, the villas are an ode to summer idleness, to beautiful convivial days and to a resolutely tropical art of living. They offer 3 en-suite bedrooms (with the possibility of a 4th bedroom as an option), and are designed for a warm, nature-oriented lifestyle.
All villas are accompanied by a set of sustainable and innovative architectural concepts. The orientation, the spatial organization, the natural light and ventilation, the materials used, the management of energy, waste and water... everything has been thought to reduce the environmental impact of the villas as much as possible.
In the heart of the historic Black River Salt Works, facing one of the largest lagoons on the island, Harmonie Golf & Beach Estate invites you to vibrate every day to the rhythm of a coastline that makes no concessions and perfectly illustrates the pure Mauritian dolce vita.
Accessible to foreigners.
Residence permit included.
For more information or for a visit, contact your agency Villa Vie!","Land surface
1730 m²
Interior surface
430 m²
Swimming pool
Private pool",Sea view,,
House / Villa - 3 Bedrooms - 200 m²,"Mon Choisy, North","Rs 27,596,800",https://www.lexpressproperty.com/local/cache-intervention/L733xH498/jpg/photo-house_villa_3_bedrooms_200_m2-dVWsUASAcNFC7565.jpg,"Located about 200 meters from the largest beach in the north and only a few minutes from the centre of Grand Bay, this villa is part of a residence with an ideal location.
With a total area of 247 sqm, it has 3 en suite bedrooms, a landscaped garden with a private pool.
The villa is contemporary and fully furnished and equipped. It includes the master bedroom on the ground floor facing the pool, and the two other bedrooms on the first floor, each with a beautiful private terrace.
The living space is bright: all the windows open to enjoy the terrace, the pool and the garden.
The open plan kitchen is fully equipped, an outdoor scullery is also available and a small office is nestled in the hall. Perfectly thought out, this property responds to a contemporary way of living. The lifestyle is simplified and facilitated by the proximity of the beach, an 18 hole golf course and all amenities.","Land surface
320 m²
Interior surface
200 m²
Swimming pool
Private pool",Indoor spa,,
House / Villa - 3 Bedrooms - 260 m²,"Bel Ombre, South","Rs 40,700,475",https://www.lexpressproperty.com/local/cache-intervention/L733xH498/jpg/photo-house_villa_3_bedrooms_260_m2-zhqWqDUL6MD39604.jpg,"Already built - Agency fees included:
The Honeymoon villa has a classic but modern style and is composed of three bedrooms, three bathrooms, a large living room open to the dining room and the kitchen offering a large living space. It is also composed of a terrace and a swimming pool with a view on a beautiful garden.
Heritage Villas Valriche is located in the Bel Ombre region of southwest Mauritius, famous for its authenticity and lush nature. Nestled between rolling hills and a sheltered lagoon, Bel Ombre offers some of the most unspoilt scenery on the island. Between sea, hills, plains and rivers, the 2500 hectare Bel Ombre estate is also home to one of the finest championship golf courses in the Indian Ocean.
Renowned developer.
Accessible to foreigners.
Residence permit included.
For more information or for a visit, contact Villa Vie!","Land surface
613 m²
Interior surface
260 m²
Swimming pool
Private pool",Sea view,,
House / Villa - 5 Bedrooms - 280 m²,"Pointe aux Sables, West","Rs 7,500,000",https://www.lexpressproperty.com/local/cache-intervention/L733xH498/jpg/photo-house_villa_5_bedrooms_280_m2-0yLWcNn7kY8w4808.jpg,Pointe aux Sables 4 bedrooms house. Garage. Plot of land 716 sqm. Fees agency 2% + Vat.,"Land surface
716 m²
Interior surface
280 m²",Office,,
House / Villa - 3 Bedrooms - 280 m²,"Black River, West","Rs 22,000,000",https://www.lexpressproperty.com/local/cache-intervention/L733xH498/jpg/photo-house_villa_3_bedrooms_280_m2-I6Bd9IKR7OvO7e7d.jpg,"Accessible only to Mauritians.
Fully furnished 3 bedroom villa with air conditioning and 3 bathrooms for sale in Black River.
With a mountain view and tastefully decorated, it has a spacious living room, dining room, tv room and an open kitchen.
The exterior has a large garden with trees and a swimming pool.
Close to all amenities and golf courses.","Land surface
N.S
Interior surface
280 m²
Swimming pool
Private pool",Sea view,,
House / Villa - 4 Bedrooms - 220 m²,"Trou aux Biches, North","Rs 31,046,400",https://www.lexpressproperty.com/local/cache-intervention/L733xH498/jpg/photo-house_villa_4_bedrooms_220_m2-y8S8xHspwyPT24c9.jpg,"Resale:
Villa with 4 bedrooms and 3 bathrooms. Very well maintained, with its fenced garden and swimming pool, it is a very comfortable villa.
Accessible to foreigners.
Residence permit included.
For more information or for a visit, contact Villa Vie!","Land surface
605 m²
Swimming pool
Private pool",Freehold land,,
House / Villa - 8 Bedrooms - 450 m²,"Mon Choisy, North","Rs 12,500,000",https://www.lexpressproperty.com/local/cache-intervention/L733xH498/jpg/photo-house_villa_8_bedrooms_450_m2-GTyOfZ5De1rs80fb.jpg,"Accessible only to Mauritians.
House divided into 2 duplexes and a studio for sale in Mont Choisy.
Front duplex: It consists of a living/dining room, tv room which can also be a bedroom, a laundry room, 1 bathroom and on the second floor 3 bedrooms with a common bathroom.
Second duplex: On the ground floor - Kitchen open to the living room / dining room, laundry room, a bathroom and on the second floor 3 bedrooms with a common bathroom.
At the back - A studio with bathroom on the ground floor.
Two blinds outside. Parking space for 3 cars, 2 covered terraces.","Land surface
410 m²",Sea access,,
House / Villa - 4 Bedrooms - 295 m²,"Flic en Flac, West","Rs 18,000,000",https://www.lexpressproperty.com/local/cache-intervention/L733xH498/jpg/photo-house_villa_4_bedrooms_295_m2-EsAdCtjlHZJw860e.jpg,"SPLENDID NEW VILLA FOR SALE IN FLIC EN FLAC !!!!
This brand new beautifully furnished villa includes:
A spacious living/dining room, a fully equipped American kitchen, a TV room, 4 bedrooms with bathroom, a laundry room, a pantry, a superb swimming pool and a garage.
This splendid new villa has a total living area of 294.8m2 on an area of 425m2 with access by electric door, surveillance camera, secure wall. Year of construction 2023.
Sale price : Rs 18m
For more information and interested visit, please contact our agent.","Land surface
425 m²
Interior surface
294.80 m²
Swimming pool
Private pool",Fully equipped,,
House / Villa - 4 Bedrooms - 305 m²,"Black River, West","Rs 63,000,000",https://www.lexpressproperty.com/local/cache-intervention/L733xH498/jpg/photo-house_villa_4_bedrooms_305_m2-7GYtr1gg2x4A297c.jpg,"New Upcoming Project in the famous Plantation Marguery with open sea view. Featuring modern architectural villa with a touch of maison creole, and a blend of wood and basaltic stone, within the Gated Estate. These villas have been designed to provide spacious outdoor living areas and privacy from the neighbouring units.","Land surface
570 m²
Interior surface
305 m²
Swimming pool
Private pool",Sea view,,
House / Villa - 3 Bedrooms - 360 m²,"Tamarin, West","Rs 21,683,200",https://www.lexpressproperty.com/local/cache-intervention/L733xH498/jpg/photo-house_villa_3_bedrooms_360_m2-yuCzvsX0xMVp8bcb.jpg,"Ideally located in the centre of Tamarin next to all amenities (shops, school, health centre), this 360 sqm modern house is composed of 3 en-suite bedrooms with dressing rooms, a large living room with open kitchen, with a great height under ceiling.
Set on a plot of 574 sqm, the house offers a beautiful outdoor living space with its veranda, its garden and its swimming pool without any opposite.
The house is totally secure with its roller shutters. You will enjoy a parking space for 3 cars, as well as a generator.
This well thought out house is ideal for a first purchase or to become a main residence.","Land surface
574 m²
Interior surface
360.20 m²
Swimming pool
Private pool",Fully equipped,,
House / Villa - 5 Bedrooms - 545 m²,"Black River, West","Rs 162,624,000",https://www.lexpressproperty.com/local/cache-intervention/L733xH498/jpg/photo-house_villa_5_bedrooms_545_m2-BkKtZ4uGfuwS785e.jpg,"Buy a high end villa with sea and mountain view in West Tamarin
Maison Gadait offers for sale this superb villa with direct access to the sea. This property is located on Black River. The property of 545m2 is composed of 5 bedrooms en suite. It is offered for sale fully furnished and decorated with taste. The exterior of the property extends to a sea view garden of 1150m2, it has a spacious swimming pool, a garage with two parking spaces and offers magnificent mountain and sea views. as it is a project open to foreigners, and in full ownership","Land surface
1150 m²
Interior surface
545 m²
Swimming pool
Private pool",Sea access,,
House / Villa - 4 Bedrooms - 297 m²,"Quatre Bornes, Center","Rs 7,900,000",https://www.lexpressproperty.com/local/cache-intervention/L733xH498/jpg/photo-house_villa_4_bedrooms_297_m2-LSTA2iQIfCC010d4.jpg,"COSSY HOUSE FOR SALE IN QUATRE-BORNES..
1 Living-Dining, 1 Open-Kitchen, 4 Bedrooms, 2 Bathrooms-Toilets, Car Port with additional Parking Space.
Total Surface Area : 3200 sqft
Price Offered for Sale : Rs 7.9m NEG
For interested visit kindly contact our Agent.","Land surface
N.S
Interior surface
297.28 m²",Pets allowed,,
House / Villa - 4 Bedrooms - 794 m²,"Tamarin, West","Rs 117,000,000",https://www.lexpressproperty.com/local/cache-intervention/L733xH498/jpg/photo-house_villa_4_bedrooms_794_m2-wltOgl3E3tTyfc28.jpg,Sold unfurnished. Roller shutters on verandah and garage. New laminate flooring throughout. Mosquito sliding doors on all bedroom and bathroom doors. Staff toilet in kitchen yard. Garden store. Security cameras. Extra decking around pool.,"Land surface
3185 m²
Swimming pool
Private pool",Fully equipped,,
House / Villa - 5 Bedrooms - 250 m²,"Calodyne, North","Rs 22,500,000",https://www.lexpressproperty.com/local/cache-intervention/L733xH498/jpg/photo-house_villa_5_bedrooms_250_m2-xPufIGeggEw99a90.jpg,"Accessible only to Mauritians.
Beautiful contemporary villa with 5 bedrooms on a plot of 53 perches (2266m2) in a quiet and residential environment.
Good access and excellent neighborhood, this exceptional property will amaze you with its generous volumes and its luminosity.
A large veranda overlooking a magnificent slate pool lends itself wonderfully to outdoor entertaining all year round thanks to the region's mild climate.
Discover the charming village of Calodyne with its access to the sea, its stores, its tranquility, while being 10 minutes from Grand Bay and 10 minutes to the northern schools.","Land surface
2266 m²
Interior surface
250 m²
Swimming pool
Private pool",Pets allowed,,
House / Villa - 1 Bedroom - 120 m²,"Port Louis, North","Rs 3,500,000",https://www.lexpressproperty.com/local/cache-intervention/L733xH498/jpg/photo-house_villa_1_bedroom_120_m2-4CVSkOaZyCR0e821.jpg,"Port Louis Close to Central Casernes house consisting of opened kitchen, living room and office on ground floor, one bedroom and bathroom upstairs.Plot of land 90 sqm. No parking. Selling price 3,5 millions. Fees agency 2% + Vat.","Land surface
90 m²
Interior surface
120 m²",Garden,,
House / Villa - 4 Bedrooms - 310 m²,"Grand Bay, North","Rs 82,297,600",https://www.lexpressproperty.com/local/cache-intervention/L733xH498/jpg/photo-house_villa_4_bedrooms_310_m2-vgducejlAvpgcea6.jpg,"Resale:
Located 2 minutes away from Grand Bay centre, in a high standing secure residence with access to the private beach of Trou aux Biches, this luxurious furnished ""Galion"" type villa left. A surface of 310 sqm, the villa is fully furnished and stands on a plot of 100 sqm. It consists of 4 en-suite bedrooms, a living / dining room, a well equipped kitchen, a terrace, a pool, a kiosk, a laundry room, and a double garage. With an unobstructed view and decorated with care.
The residential project offers a set of upscale villas in a secured environment that favours green spaces, swimming pools and private gardens.
A large landscaped garden connects the second to the first phase of the project, with its reception, newly opened spa, boat parking and swimming pool.
Renowned developer.
Accessible to foreigners.
Residence permit included.
For more information or for a visit, contact Villa Vie!","Land surface
1000 m²
Swimming pool
Private pool",TV room,,
House / Villa - 4 Bedrooms - 260 m²,"Tombeau Bay, North","Rs 29,000,000",https://www.lexpressproperty.com/local/cache-intervention/L733xH498/jpg/photo-house_villa_4_bedrooms_260_m2-NJEPE54jgru749f1.jpg,"Accessible only to Mauritians.
Baie du Tombeau, in the charming area of St Malo, IN FULL OWNERSHIP, opportunity to acquire a property of 1500m2 (37 perches) with existing buildings, a main house and several outbuildings.
A few minutes drive to stores and medical services.","Land surface
1562 m²
Interior surface
260 m²",Sea view,,
House / Villa - 3 Bedrooms - 246 m²,"Baie du Cap, South","Rs 45,094,000",https://www.lexpressproperty.com/local/cache-intervention/L733xH498/jpg/photo-house_villa_3_bedrooms_246_m2-bpKcbmXIR7au9720.jpg,"Nestenn offers this 3-bed villa offering a panoramic view on the lagoon.
NO AGENCY FEES. ACCESSIBLE TO FOREIGNERS. IRS SCHEME. OFF-PLAN PURCHASE.
This villa with pleasant living spaces of over 246 m² stands on a plot of 769 m². Designed to offer a panoramic view on the lagoon with an elevated terrace, this villa is a little gem.
The architecture is a mix of a contemporary and authentic style. The use of natural products for the finishes like the volcanic stones and wood gives a very fresh look to the villa.
The villa benefits from an open living space comprising of a modern and practical kitchen, a dining and lounge of 44m² - all facing and open on the large terrace of 29m² facing the large pool of 35m² ideal to enjoy a tropical lifestyle.
The indoors and and outdoors are well balanced and extends by a beautiful veranda and a magnificent swimming pool which opens onto the lagoon. The garden overlooks the village of Baie du Cap, and consists of multiple tropical species on a sparkling ocean floor.
The property composes of three air-conditioned en-suite bedrooms with their outdoor showers. The master bedroom of 36m² includes a master suite bathroom and an outdoor shower with a view of the pool.
Additional conveniences include a pantry, a back kitchen, a guest WC, parking spaces for 2 cars.
A few minutes from the renown beach of Le Morne, and nested in the authentic village of Baie du cap, this villa offers many benefits including tranquility and the possibility to experience Mauritius differently.
An integrated project in the fishermen village of Baie du Cap.
Residence permit upon acquisition.","Land surface
769 m²
Interior surface
246 m²
Swimming pool
Private pool",Sea view,,
House / Villa - 3 Bedrooms - 170 m²,"Tamarin, West","Rs 33,750,000",https://www.lexpressproperty.com/local/cache-intervention/L733xH498/jpg/photo-house_villa_3_bedrooms_170_m2-EUFpBwwWbmNAfd64.jpg,"Nestenn offers this 3-bed fully furnished villa with private pool in an intimate residence.
ACCESSIBLE TO FOREIGNERS. OFF-PLAN SALE. PDS SCHEME.
RESIDENCE PERMIT UPON ACQUISITION.
This single storey property offers beautiful open plan living spaces with a main living room including an American kitchen with central island, a dining room and a 70 m² living room opening onto the terrace and the infinity pool. The latter hosts a bar and a BBQ area as well as an additional relaxation and dining area.
The 3 bedrooms all have en-suite bathrooms.
The master bedroom overlooks the pool. Two of the bedrooms have a separate bath with a view of the sky.
A store and 2 covered parking spaces complete this property.
The residence is secured and hosts a gym and a hydroponic garden. You will have access to a private beach club.
Delivery in 2023.","Land surface
689 m²
Interior surface
170 m²
Swimming pool
Private pool",Sea access,,
House / Villa - 5 Bedrooms - 400 m²,"Floréal, Center","Rs 12,000,000",https://www.lexpressproperty.com/local/cache-intervention/L733xH498/jpg/photo-house_villa_5_bedrooms_400_m2-7UXc6j5DnBAW372f.jpg,"Floréal unfurnished house consisting of 5 bedrooms, 3 bathrooms, 4 toilets, 2 kitchens, living and dining room, tv room and office. Plot of land 802 sqm. Selling price 12 millions. Fees agency 2% + Vat.","Land surface
802 m²
Interior surface
400 m²",Office,,
House / Villa - 4 Bedrooms - 318 m²,"Grand Bay, North","Rs 62,234,000",https://www.lexpressproperty.com/local/cache-intervention/L733xH498/jpg/photo-house_villa_4_bedrooms_318_m2-pYPeHr90JmIL67c4.jpg,"Nestenn proposes this contemporary villa located in a PDS residence under construction with an expected delivery in 2023.
PDS SCHEME. ACCESSIBLE TO FOREIGNERS. RESIDENCE PERMIT UPON ACQUISITION.
OFF-PLAN SALE.
In a secured residence, this villa has a large living room with an open kitchen, an office space and a covered terrace of 50 m² opening onto the garden and private pool.
There are 4 bedrooms - all with en suite bathrooms.
A double garage completes this property.
The developer is well known and has already successfully delivered many appreciated projects.
This acquisition will allow you to benefit from the current payment schedule.","Land surface
1150 m²
Interior surface
317.50 m²
Swimming pool
Private pool",Pets allowed,,
House / Villa - 4 Bedrooms - 307 m²,"Grand Gaube, North","Rs 61,600,000",https://www.lexpressproperty.com/local/cache-intervention/L733xH498/jpg/photo-house_villa_4_bedrooms_307_m2-dXm36AMZZYl3ebe7.jpg,"EXCLUSIVITY - Resale:
For sale sumptuous single storey villa of 307m2 located in the residential complex of Mythic Grand Gaube at only 550 meters from the beach.
Tastefully decorated, this luxurious property has 4 en-suite air-conditioned bedrooms, including a master bedroom with a dressing room. It also benefits from a spacious interior living space composed of a fully equipped kitchen opening onto a dining room and a large living room.
The interior living spaces extend onto an outside area of 1014m2 with: a terrace area with a large slate pool and a kiosk.
For more comfort, the villa also includes a laundry room and a guest toilet.
Renowned developer.
Accessible to foreigners.
Residence permit included.
For more information or for a visit, contact Villa Vie!","Land surface
1014 m²
Swimming pool
Private pool",Sea access,,
House / Villa - 3 Bedrooms - N.S m²,"Flic en Flac, West","Rs 16,500,000",https://www.lexpressproperty.com/local/cache-intervention/L733xH498/jpg/photo-house_villa_3_bedrooms_n_s_m2-lxAso5pLDmNgad00.jpg,"Flic en Flac Morc Anna close to the ocean, unfurnished modern house consisting of living , dining room, opened and furnished kitchen and bathroom on ground floor, 3 bedrooms, 2 bathrooms and toilets uptairs. Roof top with seaview. Terracy. Swimmingpool. Aircon. Autmatic gate. Alarm system. Plot of land 840 sqm. Selling price 16,5 millions. Fees agency 2% + Vat. Phone GEOCIM Immo +230 5853... / whatsapp +336 1592....","Land surface
840 m²
Interior surface
N.S
Swimming pool
Private pool",Garden,,
House / Villa - 3 Bedrooms - 227 m²,"Mont Mascal, North","Rs 44,352,000",https://www.lexpressproperty.com/local/cache-intervention/L733xH498/jpg/photo-house_villa_3_bedrooms_227_m2-SjZRP93VuYG689e3.jpg,"Superb villa with 3 bedrooms and a study, RES, available to foreigners, with easy access, tranquil and countryside like area 5 minutes from Grand Bay and the beach.
Very good finishes, nice decoration and a dream kitchen. A magnificent garden surrounds this beautiful villa and its pool.
Double garage, automatic generator and gymnasium in this secured residence of only 7 villas.
Price : € 900 000","Land surface
1155 m²
Interior surface
227 m²
Swimming pool
Private pool",Air conditioning,,
House / Villa - 5 Bedrooms - 295 m²,"Tamarin, West","Rs 66,528,000",https://www.lexpressproperty.com/local/cache-intervention/L733xH498/jpg/photo-house_villa_5_bedrooms_295_m2-LRz9BtQbPw1ec9cd.jpg,"Nestenn offers this 5-bed villa with incredible view on the mountain and sea.
RES SCHEME. ACCESSIBLE TO FOREIGNERS.
RESIDENCE PERMIT UPON ACQUISITION
Located at the foot of the mountain, this large modern villa has a bright and spacious living area comprising of a dining room, lounge and fully equipped branded kitchen - all open to the outdoor swimming pool with incredible views.
Fully furnished the villa has a night area comprising of 5 bedrooms; in which 4 rooms has an en-suite private bathroom with AC.
Roller shutters all around the house gives you extra security.
Generator, gas and solar water heater, and 9000lt water tank and 3 parking spaces completes the property.","Land surface
670 m²
Interior surface
295 m²
Swimming pool
Private pool",Sea view,,
